CODE_UIC,LIBELLE,,VOYAGEURS,COMMUNE,DEPARTEMEN,IDRESEAU,X_L93,Y_L93,X_WGS84,Y_WGS84,C_GEO,Geo Point,Gare,Typologie_de_la_gare,Segmentation_marketing,satisfaction_global,orientation_client,bien_etre_en_gare,confort_attente
87474296,Guimiliau,,O,GUIMILIAU,FINISTERE,4388,183478.51940000057,6843458.327799998,-3.998945077365134,48.48522674981521,48.48522674981521, -3.9989450773651343,,,,,,,
87317537,Eu,,O,EU,SEINE-MARITIME,4104,586531.8241999969,6996247.6939,1.417043629858885,50.05438729309592,50.05438729309592, 1.4170436298588853,,,,,,,
87212183,Dettwiller,,O,DETTWILLER,BAS-RHIN,3938,1028093.0606999993,6859469.195700001,7.464938345385739,48.75182793740594,48.75182793740594, 7.464938345385739,,,,,,,
87271320,La Courneuve-Dugny,,N,LA COURNEUVE,SEINE-SAINT-DENIS,4638,656866.1652999967,6871690.2357,2.411145069309644,48.94373276539867,48.94373276539867, 2.411145069309644,,,,,,,
87181024,Hasenrain,,O,MULHOUSE,HAUT-RHIN,4411,1024442.9671000019,6746204.23,7.33091155410375,47.73613263189173,47.73613263189173, 7.33091155410375,,,,,,,
87763607,Briançon,,O,BRIANCON,HAUTES-ALPES,3394,986708.6983999982,6427754.683200002,6.632590100904112,44.88961277723656,44.88961277723656, 6.632590100904112,,,,,,,
87784736,Nyers,,O,NYER,PYRENEES-ORIENTALES,9562,639377.8489999995,6160490.633400001,2.263025997094444,42.54164503823846,42.54164503823846, 2.2630259970944437,,,,,,,
87584193,Ste-Foy-la-Grande,,O,PINEUILH,GIRONDE,6709,480462.1080000028,6419149.714899998,0.22148593170599,44.83674625977344,44.83674625977344, 0.22148593170599026,,,,,,,
87393272,Coignières,,O,COIGNIERES,YVELINES,3765,620703.5137000009,6849839.123199999,1.921580814767206,48.74379554346642,48.74379554346642, 1.9215808147672058,,,,,,,
87142026,Bricon,,N,BRICON,HAUTE-MARNE,3397,847352.2981999964,6778188.079799999,4.97924536938223,48.087446851442174,48.087446851442174, 4.97924536938223,,,,,,,
87115881,Grandpuits,,N,GRANDPUITS-BAILLY-CARROIS,SEINE-ET-MARNE,80680,697762.1643999964,6832157.173900001,2.969656326744445,48.589618589092126,48.589618589092126, 2.9696563267444454,,,,,,,
87144287,Contrexéville,,O,CONTREXEVILLE,VOSGES,3804,914801.1444000006,6790514.952399999,5.89060025319197,48.179604336817256,48.179604336817256, 5.89060025319197,,,,,,,
87286096,Haubourdin,,O,HAUBOURDIN,NORD,4414,699016.5,7056476.983100001,2.986130074557951,50.60534385058972,50.60534385058972, 2.986130074557951,,,,,,,
