"UIC","Gare","","Lundi","Mardi","Mercredi","Jeudi","Vendredi","Samedi","Dimanche_jours_feries ","","","","","","","","","",""
"313346","MONTDIDIER","","6h05 - 13h20 / 13h40 - 20h25","6h05 - 13h20 / 13h40 - 20h25","6h05 - 13h20 / 13h40 - 20h25","6h05 - 13h20 / 13h40 - 20h25","6h05 - 13h20 / 13h40 - 20h25","6h05 - 13h20 / 13h40 - 20h25","10h40 - 12h20 / 13h50 - 19h25","","","","","","","","","",""
"345306","MONTIGNY-EN-OSTREVENT","","-","12h00 - 19h00","-","12h00 - 19h00","-","-","-","","","","","","","","","",""
"317164","MONTREUIL-SUR-MER","","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","9h00 - 12h00 / 13h00 - 17h00","9h00 - 12h00 / 13h00 - 17h00","-","","","","","","","","","",""
"313320","MOREUIL","","6h15 - 13h30","6h15 - 13h30","6h15 - 13h30","6h15 - 13h30","6h15 - 13h30","-","-","","","","","","","","","",""
"313577","MOUY-BURY","","5h25 - 20h20","5h25 - 20h20","5h25 - 20h20","5h25 - 20h20","5h25 - 20h20","6h30 - 21h20","7h40 - 13h20 / 15h05 - 21h00","","","","","","","","","",""
"271577","NANTEUIL-LE-HAUDOUIN","","-","-","-","5h35 - 12h50","5h35 - 12h50","-","-","","","","","","","","","",""
"313486","NESLE (Somme)","","5h45 - 20h00","5h45 - 20h00","5h45 - 20h00","5h45 - 20h00","5h45 - 20h00","5h45 - 20h00","5h45 - 20h00","","","","","","","","","",""
"342139","NOEUX-LES-MINES","","7h30 - 8h30 / 11h30 - 18h30","7h30 - 8h30 / 11h30 - 18h30","7h30 - 8h30 / 11h30 - 18h30","7h30 - 8h30 / 11h30 - 18h30","7h30 - 8h30 / 11h30 - 18h30","-","-","","","","","","","","","",""
"116566","NOGENT-L'ARTAUD-CHARLY","","6h30 - 13h55","6h30 - 13h55","6h30 - 13h55","6h30 - 13h55","6h30 - 13h55","-","12h40 - 17h35","","","","","","","","","",""
"317396","NOYELLES-SUR-MER","","6h05 - 13h35","6h05 - 13h35","6h05 - 13h35","6h05 - 13h35","6h05 - 13h35","9h50 - 12h40 / 14h20 - 18h40","14h35 - 20h40","","","","","","","","","",""
"276782","NOYON","","5h00 - 19h30","5h00 - 19h30","5h00 - 19h30","5h00 - 19h30","5h00 - 19h30","6h00 - 20h20","6h55 - 21h25","","","","","","","","","",""
"286583","ORCHIES","","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","9h00 - 12h00 / 13h00 - 17h00","-","","","","","","","","","",""
"276279","ORRY-LA-VILLE-COYE","","6h05 - 20h50","6h05 - 20h50","6h05 - 20h50","6h05 - 20h50","6h05 - 20h50","6h05 - 20h50","6h05 - 20h50","","","","","","","","","",""
"286278","PERENCHIES","","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","9h00 - 12h30","9h00 - 12h30","","","","","","","","","",""
"286500","PHALEMPIN","","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","-","-","","","","","","","","","",""
"276329","PONT-STE-MAXENCE","","5h10 - 19h40","5h10 - 19h40","5h10 - 19h40","5h10 - 19h40","5h10 - 19h40","6h25 - 19h40","6h40 - 20h25","","","","","","","","","",""
"276410","PRECY-SUR-OISE","","5h40 - 11h25","5h40 - 11h25","-","-","-","-","-","","","","","","","","","",""
"317057","RANG-DU-FLIERS-VERTON","","5h15 - 20h00","5h15 - 20h00","5h15 - 20h00","5h15 - 20h00","5h15 - 20h00","6h10 - 20h25","8h05 - 20h25","","","","","","","","","",""
"276766","RIBECOURT","","-","-","6h30 - 13h45","6h30 - 13h45","6h30 - 13h45","-","-","","","","","","","","","",""
"286534","RONCHIN","","9h00 - 12h30 / 13h30 - 17h00","9h00 - 12h30 / 13h30 - 17h00","9h00 - 12h30 / 13h30 - 17h00","9h00 - 12h30 / 13h30 - 17h00","9h00 - 12h30 / 13h30 - 17h00","9h00 - 12h30 / 13h30 - 17h00","-","","","","","","","","","",""
"313460","ROSIERES","","6h05 - 13h20","6h05 - 9h05","6h05 - 13h20","6h05 - 9h05","6h05 - 13h20","-","-","","","","","","","","","",""
"286732","ROUBAIX","","5h10 - 20h20","5h10 - 20h20","5h10 - 20h20","5h10 - 20h20","5h10 - 20h20","7h30 - 20h30","9h00 - 19h30","","","","","","","","","",""
"317404","RUE","","6h05 - 13h35","6h05 - 13h35","6h05 - 13h35","6h05 - 13h35","6h05 - 13h35","9h50 - 12h40 / 14h20 - 18h40","-","","","","","","","","","",""
"286401","SAINT QUENTIN","","4h00 - 0h15","4h00 - 0h15","4h00 - 0h15","4h00 - 0h15","4h00 - 0h15","4h00 - 0h15","4h00 - 0h15","","","","","","","","","",""
"286518","SANTES","","-","6h30 - 13h30","-","6h30 - 13h30","-","-","-","","","","","","","","","",""
